run_id	pvalue_KM	n_sign_KM	enriching_signatures	p_value_adj_KM
shuffling_25perc_38	0.04790337979993754	5	Comm_7;Comm_5;Comm_3;Comm_2;Comm_4	0.23117533052231898
shuffling_25perc_39	0.3924918652186763	7	Comm_3;Comm_5;Comm_7;Comm_2;Comm_4;Comm_1;Comm_6	0.4591128203951471
shuffling_25perc_40	0.10795674489305032	5	Comm_7;Comm_5;Comm_3;Comm_2;Comm_4	0.2518990714171174
shuffling_25perc_41	0.12389082577876236	7	Comm_7;Comm_5;Comm_1;Comm_2;Comm_4;Comm_3;Comm_6	0.2629682689110504
shuffling_25perc_42	0.3519741998559523	6	Comm_7;Comm_5;Comm_3;Comm_2;Comm_4;Comm_6	0.42979671419645016
shuffling_25perc_43	0.22018592477750035	7	Comm_3;Comm_5;Comm_1;Comm_2;Comm_4;Comm_7;Comm_6	0.3338302730497586
shuffling_25perc_44	0.20704128187983534	6	Comm_7;Comm_5;Comm_3;Comm_1;Comm_2;Comm_4	0.3272648601816356
shuffling_25perc_45	0.12619268479030038	7	Comm_7;Comm_5;Comm_3;Comm_2;Comm_4;Comm_6;Comm_1	0.2632367621991704
shuffling_25perc_46	0.2034094019109777	6	Comm_7;Comm_5;Comm_2;Comm_4;Comm_1;Comm_3	0.32644728404249596
shuffling_25perc_47	0.05181571477923594	7	Comm_7;Comm_3;Comm_5;Comm_1;Comm_2;Comm_4;Comm_6	0.23352561866258387
shuffling_25perc_48	0.4108216043722633	6	Comm_7;Comm_5;Comm_3;Comm_1;Comm_2;Comm_4	0.47591657689603734
shuffling_25perc_49	0.043283789576773736	7	Comm_7;Comm_5;Comm_3;Comm_2;Comm_4;Comm_6;Comm_1	0.22798447401579405
shuffling_25perc_50	0.38597818905828535	7	Comm_3;Comm_5;Comm_1;Comm_2;Comm_4;Comm_7;Comm_6	0.4562797940502367
shuffling_50perc_1	0.03847738447112067	6	Comm_7;Comm_5;Comm_1;Comm_2;Comm_3;Comm_4	0.22798447401579405
shuffling_50perc_2	0.18343235548974898	5	Comm_7;Comm_5;Comm_3;Comm_2;Comm_4	0.3126903883737172
