gene_ID,gene_name,difference,tstat,logpval,significant
C12orf36,C12orf36,-0.7336325017717342,-0.7336325017717342,1.5368272534165788,NA
C12orf4,C12orf4,0.01391662148234722,0.01391662148234722,0.9888965009886521,NA
C12orf42,C12orf42,-2.633995711540249,-2.633995711540249,1.991561344623855,+
C12orf43,C12orf43,-0.20412123648642697,-0.20412123648642697,1.1617412406210923,NA
C12orf45,C12orf45,0.48925015569451685,0.48925015569451685,0.6246646046584878,NA
C12orf49,C12orf49,0.18447614523111375,0.18447614523111375,0.8536399393412119,NA
C12orf5,C12orf5,-0.6930477498208891,-0.6930477498208891,1.511720413880139,NA
C12orf50,C12orf50,-0.7336325017717342,-0.7336325017717342,1.5368272534165788,NA
C12orf54,C12orf54,-1.5230285821808731,-1.5230285821808731,1.8722484452421306,NA
C12orf56,C12orf56,-2.160183296420336,-2.160183296420336,1.9692415172798026,+
C12orf57,C12orf57,1.420369225571559,1.420369225571559,0.1555002172314311,NA
C12orf60,C12orf60,-0.6636610235279328,-0.6636610235279328,1.4930927091985917,NA
C12orf61,C12orf61,-1.8665425831428104,-1.8665425831428104,1.9380345078723895,NA
C12orf65,C12orf65,-0.19758366081332432,-0.19758366081332432,1.1566291804382396,NA
C12orf66,C12orf66,-0.10783763437018784,-0.10783763437018784,1.0858755109626026,NA
C12orf73,C12orf73,-0.7336325017717342,-0.7336325017717342,1.5368272534165788,NA
C12orf74,C12orf74,-1.9169660628393148,-1.9169660628393148,1.9447577567585141,NA
C12orf75,C12orf75,0.695507431757304,0.695507431757304,0.4867373554154748,NA
C12orf76,C12orf76,-0.7336325017717342,-0.7336325017717342,1.5368272534165788,NA
C12orf79,C12orf79,1.323244153319178,1.323244153319178,0.18575419701068863,NA
C12orf80,C12orf80,-0.7336325017717342,-0.7336325017717342,1.5368272534165788,NA
C14orf1,C14orf1,0.5216143916999753,0.5216143916999753,0.6019388409064429,NA
C14orf119,C14orf119,0.7102978876117986,0.7102978876117986,0.477519429480621,NA
C14orf132,C14orf132,0.12945694402183414,0.12945694402183414,0.8969960918914999,NA
C14orf142,C14orf142,0.36772244949401994,0.36772244949401994,0.7130801993817999,NA
C14orf159,C14orf159,0.44562316555915865,0.44562316555915865,0.6558694741033133,NA
C14orf166,C14orf166,1.2205200682378523,1.2205200682378523,0.22226778668330022,NA
C14orf169,C14orf169,0.17156281506493573,0.17156281506493573,0.8637812432029784,NA
C14orf180,C14orf180,-1.6000554638738649,-1.6000554638738649,1.8904137202533104,NA
